Step,error_2 (0.03) - val/loss,error_2 (0.03) - val/loss__MIN,error_2 (0.03) - val/loss__MAX,error_4 (0.03) - val/loss,error_4 (0.03) - val/loss__MIN,error_4 (0.03) - val/loss__MAX,dion_4 (0.03) - val/loss,dion_4 (0.03) - val/loss__MIN,dion_4 (0.03) - val/loss__MAX,dion_2 (0.03) - val/loss,dion_2 (0.03) - val/loss__MIN,dion_2 (0.03) - val/loss__MAX
0,15.990061950683591,15.990061950683591,15.990061950683591,16.051658630371094,16.051658630371094,16.051658630371094,16.005894470214844,16.005894470214844,16.005894470214844,15.957649230957031,15.957649230957031,15.957649230957031
50,5.817802047729492,5.817802047729492,5.817802047729492,6.037767028808593,6.037767028808593,6.037767028808593,5.973003768920899,5.973003768920899,5.973003768920899,5.827774429321289,5.827774429321289,5.827774429321289
100,5.039112473,5.039112473,5.039112473,5.286470031738281,5.286470031738281,5.286470031738281,5.252770614624024,5.252770614624024,5.252770614624024,5.059387207,5.059387207,5.059387207
150,4.499628067016602,4.499628067016602,4.499628067016602,4.827988815307617,4.827988815307617,4.827988815307617,4.807268905639648,4.807268905639648,4.807268905639648,4.523831558227539,4.523831558227539,4.523831558227539
200,4.208146667480468,4.208146667480468,4.208146667480468,4.447696685791016,4.447696685791016,4.447696685791016,4.441688537597656,4.441688537597656,4.441688537597656,4.218869018554687,4.218869018554687,4.218869018554687
250,4.042318725585938,4.042318725585938,4.042318725585938,4.244171524047852,4.244171524047852,4.244171524047852,4.2414100646972654,4.2414100646972654,4.2414100646972654,4.046519852,4.046519852,4.046519852
300,3.933621215820312,3.933621215820312,3.933621215820312,4.116555786132812,4.116555786132812,4.116555786132812,4.106781005859375,4.106781005859375,4.106781005859375,3.933855819702148,3.933855819702148,3.933855819702148
350,3.858691406,3.858691406,3.858691406,4.029621887207031,4.029621887207031,4.029621887207031,4.0058635711669925,4.0058635711669925,4.0058635711669925,3.852939224243164,3.852939224243164,3.852939224243164
400,3.795749282836914,3.795749282836914,3.795749282836914,3.953934860229493,3.953934860229493,3.953934860229493,3.9244461059570312,3.9244461059570312,3.9244461059570312,3.783488082885742,3.783488082885742,3.783488082885742
450,3.749769592285156,3.749769592285156,3.749769592285156,3.896484375,3.896484375,3.896484375,3.861441802978516,3.861441802978516,3.861441802978516,3.734366226196289,3.734366226196289,3.734366226196289
500,3.708017349243164,3.708017349243164,3.708017349243164,3.851209259033203,3.851209259033203,3.851209259033203,3.809361267089843,3.809361267089843,3.809361267089843,3.6934837341308593,3.6934837341308593,3.6934837341308593
550,3.673604202270508,3.673604202270508,3.673604202270508,3.813496398925781,3.813496398925781,3.813496398925781,3.767181396484375,3.767181396484375,3.767181396484375,3.6582088470458984,3.6582088470458984,3.6582088470458984
600,3.646282958984375,3.646282958984375,3.646282958984375,3.782300567626953,3.782300567626953,3.782300567626953,3.729450988769531,3.729450988769531,3.729450988769531,3.6291053771972654,3.6291053771972654,3.6291053771972654
650,3.6242630004882814,3.6242630004882814,3.6242630004882814,3.754975128173828,3.754975128173828,3.754975128173828,3.7015850067138674,3.7015850067138674,3.7015850067138674,3.605193710327149,3.605193710327149,3.605193710327149
700,3.600161361694336,3.600161361694336,3.600161361694336,3.72905159,3.72905159,3.72905159,3.671344757080078,3.671344757080078,3.671344757080078,3.583544158935547,3.583544158935547,3.583544158935547
750,3.583632278442382,3.583632278442382,3.583632278442382,3.7075149536132814,3.7075149536132814,3.7075149536132814,3.648929977416992,3.648929977416992,3.648929977416992,3.5638404846191407,3.5638404846191407,3.5638404846191407
800,3.562409210205078,3.562409210205078,3.562409210205078,3.686918640136718,3.686918640136718,3.686918640136718,3.625298309326172,3.625298309326172,3.625298309326172,3.5423912048339843,3.5423912048339843,3.5423912048339843
850,3.5493865966796876,3.5493865966796876,3.5493865966796876,3.670228195,3.670228195,3.670228195,3.607564163208008,3.607564163208008,3.607564163208008,3.5290172576904295,3.5290172576904295,3.5290172576904295
900,3.5354755401611326,3.5354755401611326,3.5354755401611326,3.6525753021240233,3.6525753021240233,3.6525753021240233,3.5870216369628904,3.5870216369628904,3.5870216369628904,3.5148365020751955,3.5148365020751955,3.5148365020751955
950,3.523720550537109,3.523720550537109,3.523720550537109,3.638594055175781,3.638594055175781,3.638594055175781,3.5746898651123047,3.5746898651123047,3.5746898651123047,3.5026294708251955,3.5026294708251955,3.5026294708251955
1000,3.512549973,3.512549973,3.512549973,3.624905014038086,3.624905014038086,3.624905014038086,3.558165740966797,3.558165740966797,3.558165740966797,3.4891414642333984,3.4891414642333984,3.4891414642333984
1050,3.499195861816406,3.499195861816406,3.499195861816406,3.613378906,3.613378906,3.613378906,3.544447708129882,3.544447708129882,3.544447708129882,3.478649139404297,3.478649139404297,3.478649139404297
1100,3.489954376220703,3.489954376220703,3.489954376220703,3.6007564544677733,3.6007564544677733,3.6007564544677733,3.5300369262695312,3.5300369262695312,3.5300369262695312,3.4684463500976563,3.4684463500976563,3.4684463500976563
1150,3.480991744995117,3.480991744995117,3.480991744995117,3.5889392852783204,3.5889392852783204,3.5889392852783204,3.518981170654297,3.518981170654297,3.518981170654297,3.458639907836914,3.458639907836914,3.458639907836914
1200,3.470002365112305,3.470002365112305,3.470002365112305,3.579002762,3.579002762,3.579002762,3.507430267333985,3.507430267333985,3.507430267333985,3.447242355,3.447242355,3.447242355
1250,3.462433624267578,3.462433624267578,3.462433624267578,3.569839096069336,3.569839096069336,3.569839096069336,3.496601104736328,3.496601104736328,3.496601104736328,3.4409252166748048,3.4409252166748048,3.4409252166748048
1300,3.456783676147461,3.456783676147461,3.456783676147461,3.5616683959960938,3.5616683959960938,3.5616683959960938,3.4877079010009764,3.4877079010009764,3.4877079010009764,3.434189224243164,3.434189224243164,3.434189224243164
1350,3.448502349853515,3.448502349853515,3.448502349853515,3.5527812957763674,3.5527812957763674,3.5527812957763674,3.477708435058594,3.477708435058594,3.477708435058594,3.4251216888427733,3.4251216888427733,3.4251216888427733
1400,3.4432395935058593,3.4432395935058593,3.4432395935058593,3.547336196899414,3.547336196899414,3.547336196899414,3.472544860839844,3.472544860839844,3.472544860839844,3.420979690551758,3.420979690551758,3.420979690551758
1450,3.4359920501708983,3.4359920501708983,3.4359920501708983,3.539645767211914,3.539645767211914,3.539645767211914,3.4635971069335936,3.4635971069335936,3.4635971069335936,3.412887954711914,3.412887954711914,3.412887954711914
1500,3.4319969177246095,3.4319969177246095,3.4319969177246095,3.534831237792969,3.534831237792969,3.534831237792969,3.458404541015625,3.458404541015625,3.458404541015625,3.409160614013672,3.409160614013672,3.409160614013672
1550,3.425298309326172,3.425298309326172,3.425298309326172,3.527236557006836,3.527236557006836,3.527236557006836,3.450165557861328,3.450165557861328,3.450165557861328,3.4024578094482423,3.4024578094482423,3.4024578094482423
1600,3.4174983978271483,3.4174983978271483,3.4174983978271483,3.5180942535400392,3.5180942535400392,3.5180942535400392,3.443584442138672,3.443584442138672,3.443584442138672,3.3963272094726564,3.3963272094726564,3.3963272094726564
1650,3.4118518829345703,3.4118518829345703,3.4118518829345703,3.5109176635742188,3.5109176635742188,3.5109176635742188,3.4351367950439453,3.4351367950439453,3.4351367950439453,3.3901161193847655,3.3901161193847655,3.3901161193847655
1700,3.407112884521484,3.407112884521484,3.407112884521484,3.506835938,3.506835938,3.506835938,3.428667449951172,3.428667449951172,3.428667449951172,3.384537506103515,3.384537506103515,3.384537506103515
1750,3.40316391,3.40316391,3.40316391,3.501354217529297,3.501354217529297,3.501354217529297,3.423864364624023,3.423864364624023,3.423864364624023,3.3795066833496095,3.3795066833496095,3.3795066833496095
1800,3.398094559,3.398094559,3.398094559,3.4960201263427733,3.4960201263427733,3.4960201263427733,3.417794418334961,3.417794418334961,3.417794418334961,3.374968719482422,3.374968719482422,3.374968719482422
1850,3.3799434661865235,3.3799434661865235,3.3799434661865235,3.475185775756836,3.475185775756836,3.475185775756836,3.3997425079345702,3.3997425079345702,3.3997425079345702,3.357530212402344,3.357530212402344,3.357530212402344
1900,3.3593963623046874,3.3593963623046874,3.3593963623046874,3.4539539337158205,3.4539539337158205,3.4539539337158205,3.3791297912597655,3.3791297912597655,3.3791297912597655,3.3371334075927734,3.3371334075927734,3.3371334075927734
1950,3.3402873992919924,3.3402873992919924,3.3402873992919924,3.434557342529297,3.434557342529297,3.434557342529297,3.3602569580078123,3.3602569580078123,3.3602569580078123,3.318364715576172,3.318364715576172,3.318364715576172
2000,3.3285896301269533,3.3285896301269533,3.3285896301269533,3.422665786743164,3.422665786743164,3.422665786743164,3.3491485595703123,3.3491485595703123,3.3491485595703123,3.307003402709961,3.307003402709961,3.307003402709961
