Step,dion_4 (svd) - val/loss,dion_4 (svd) - val/loss__MIN,dion_4 (svd) - val/loss__MAX,dion_4 (power) - val/loss,dion_4 (power) - val/loss__MIN,dion_4 (power) - val/loss__MAX,dion_1 (svd) - val/loss,dion_1 (svd) - val/loss__MIN,dion_1 (svd) - val/loss__MAX,dion_1 (power) - val/loss,dion_1 (power) - val/loss__MIN,dion_1 (power) - val/loss__MAX
0,16.02854766845703,16.02854766845703,16.02854766845703,16.004322814941407,16.004322814941407,16.004322814941407,15.987678527832031,15.987678527832031,15.987678527832031,16.02227020263672,16.02227020263672,16.02227020263672
50,5.853639602661133,5.853639602661133,5.853639602661133,5.977674865722657,5.977674865722657,5.977674865722657,5.628824615478516,5.628824615478516,5.628824615478516,5.714950180053711,5.714950180053711,5.714950180053711
100,5.182860184,5.182860184,5.182860184,5.272066116333008,5.272066116333008,5.272066116333008,4.853347396850586,4.853347396850586,4.853347396850586,4.906707382202148,4.906707382202148,4.906707382202148
150,4.758146667480469,4.758146667480469,4.758146667480469,4.840474700927734,4.840474700927734,4.840474700927734,4.3390350341796875,4.3390350341796875,4.3390350341796875,4.385571289,4.385571289,4.385571289
200,4.410269546508789,4.410269546508789,4.410269546508789,4.460103607177734,4.460103607177734,4.460103607177734,4.085134124755859,4.085134124755859,4.085134124755859,4.10456543,4.10456543,4.10456543
250,4.215731811523438,4.215731811523438,4.215731811523438,4.247490310668946,4.247490310668946,4.247490310668946,3.9416942596435542,3.9416942596435542,3.9416942596435542,3.950016403198242,3.950016403198242,3.950016403198242
300,4.079030990600586,4.079030990600586,4.079030990600586,4.108076477050782,4.108076477050782,4.108076477050782,3.841139984130859,3.841139984130859,3.841139984130859,3.851120758,3.851120758,3.851120758
350,3.983511734008789,3.983511734008789,3.983511734008789,4.008090972900391,4.008090972900391,4.008090972900391,3.774776077270508,3.774776077270508,3.774776077270508,3.779370117,3.779370117,3.779370117
400,3.9045364379882814,3.9045364379882814,3.9045364379882814,3.927067184448242,3.927067184448242,3.927067184448242,3.717843627929688,3.717843627929688,3.717843627929688,3.7218143463134767,3.7218143463134767,3.7218143463134767
450,3.841666412353516,3.841666412353516,3.841666412353516,3.861170196533203,3.861170196533203,3.861170196533203,3.6772552490234376,3.6772552490234376,3.6772552490234376,3.6753047943115233,3.6753047943115233,3.6753047943115233
500,3.791575241088867,3.791575241088867,3.791575241088867,3.808995056152344,3.808995056152344,3.808995056152344,3.6406528472900392,3.6406528472900392,3.6406528472900392,3.6407032012939458,3.6407032012939458,3.6407032012939458
550,3.747701644897461,3.747701644897461,3.747701644897461,3.766508483886718,3.766508483886718,3.766508483886718,3.6136142730712897,3.6136142730712897,3.6136142730712897,3.610821914672852,3.610821914672852,3.610821914672852
600,3.714936828613282,3.714936828613282,3.714936828613282,3.7277050018310542,3.7277050018310542,3.7277050018310542,3.588161849975586,3.588161849975586,3.588161849975586,3.5862796783447264,3.5862796783447264,3.5862796783447264
650,3.6843521118164064,3.6843521118164064,3.6843521118164064,3.6973041534423823,3.6973041534423823,3.6973041534423823,3.5668060302734377,3.5668060302734377,3.5668060302734377,3.5659053802490233,3.5659053802490233,3.5659053802490233
700,3.6534534454345704,3.6534534454345704,3.6534534454345704,3.6673206329345702,3.6673206329345702,3.6673206329345702,3.5450130462646485,3.5450130462646485,3.5450130462646485,3.544237518310547,3.544237518310547,3.544237518310547
750,3.631769561767578,3.631769561767578,3.631769561767578,3.6462173461914062,3.6462173461914062,3.6462173461914062,3.530949020385742,3.530949020385742,3.530949020385742,3.5278594970703123,3.5278594970703123,3.5278594970703123
800,3.606767272949219,3.606767272949219,3.606767272949219,3.622717285,3.622717285,3.622717285,3.513072967529297,3.513072967529297,3.513072967529297,3.510079193115234,3.510079193115234,3.510079193115234
850,3.588113021850586,3.588113021850586,3.588113021850586,3.6025718688964843,3.6025718688964843,3.6025718688964843,3.5009834289550783,3.5009834289550783,3.5009834289550783,3.495758056640625,3.495758056640625,3.495758056640625
900,3.570644379,3.570644379,3.570644379,3.5823284149169923,3.5823284149169923,3.5823284149169923,3.486972427368164,3.486972427368164,3.486972427368164,3.4834190368652345,3.4834190368652345,3.4834190368652345
950,3.556263732910156,3.556263732910156,3.556263732910156,3.5696216583251954,3.5696216583251954,3.5696216583251954,3.477577209472656,3.477577209472656,3.477577209472656,3.4731292724609375,3.4731292724609375,3.4731292724609375
1000,3.541749191,3.541749191,3.541749191,3.552209473,3.552209473,3.552209473,3.467450714111328,3.467450714111328,3.467450714111328,3.460951232910156,3.460951232910156,3.460951232910156
1050,3.526873016357422,3.526873016357422,3.526873016357422,3.5388660430908203,3.5388660430908203,3.5388660430908203,3.4558597564697267,3.4558597564697267,3.4558597564697267,3.4512870788574217,3.4512870788574217,3.4512870788574217
1100,3.513279342651367,3.513279342651367,3.513279342651367,3.5265426635742188,3.5265426635742188,3.5265426635742188,3.4477069854736326,3.4477069854736326,3.4477069854736326,3.4411144256591797,3.4411144256591797,3.4411144256591797
1150,3.5020904541015625,3.5020904541015625,3.5020904541015625,3.513231658935547,3.513231658935547,3.513231658935547,3.438977051,3.438977051,3.438977051,3.4334510803222655,3.4334510803222655,3.4334510803222655
1200,3.489357757568359,3.489357757568359,3.489357757568359,3.501236343383789,3.501236343383789,3.501236343383789,3.429285430908203,3.429285430908203,3.429285430908203,3.4245155334472654,3.4245155334472654,3.4245155334472654
1250,3.4793811798095704,3.4793811798095704,3.4793811798095704,3.492211914,3.492211914,3.492211914,3.422056961,3.422056961,3.422056961,3.417021942138672,3.417021942138672,3.417021942138672
1300,3.471982192993164,3.471982192993164,3.471982192993164,3.4843555450439454,3.4843555450439454,3.4843555450439454,3.4159469604492188,3.4159469604492188,3.4159469604492188,3.409556198120117,3.409556198120117,3.409556198120117
1350,3.463096618652344,3.463096618652344,3.463096618652344,3.474546432495117,3.474546432495117,3.474546432495117,3.40844841,3.40844841,3.40844841,3.4034217834472655,3.4034217834472655,3.4034217834472655
1400,3.456229019165039,3.456229019165039,3.456229019165039,3.4680221557617186,3.4680221557617186,3.4680221557617186,3.4046417236328126,3.4046417236328126,3.4046417236328126,3.398949051,3.398949051,3.398949051
1450,3.4479209899902346,3.4479209899902346,3.4479209899902346,3.457448959350586,3.457448959350586,3.457448959350586,3.398337554931641,3.398337554931641,3.398337554931641,3.392407227,3.392407227,3.392407227
1500,3.442034149169922,3.442034149169922,3.442034149169922,3.451821136474609,3.451821136474609,3.451821136474609,3.3928997039794924,3.3928997039794924,3.3928997039794924,3.3882469177246093,3.3882469177246093,3.3882469177246093
1550,3.432738113,3.432738113,3.432738113,3.444657897949219,3.444657897949219,3.444657897949219,3.387125778198242,3.387125778198242,3.387125778198242,3.381575012207031,3.381575012207031,3.381575012207031
1600,3.426988220214844,3.426988220214844,3.426988220214844,3.4370407104492187,3.4370407104492187,3.4370407104492187,3.380990219116211,3.380990219116211,3.380990219116211,3.3764503479003904,3.3764503479003904,3.3764503479003904
1650,3.4194644927978515,3.4194644927978515,3.4194644927978515,3.430052947998047,3.430052947998047,3.430052947998047,3.375721740722656,3.375721740722656,3.375721740722656,3.3713871002197267,3.3713871002197267,3.3713871002197267
1700,3.4132328033447266,3.4132328033447266,3.4132328033447266,3.423470687866211,3.423470687866211,3.423470687866211,3.3705089569091795,3.3705089569091795,3.3705089569091795,3.3639907836914062,3.3639907836914062,3.3639907836914062
1750,3.406892776489258,3.406892776489258,3.406892776489258,3.418183135986328,3.418183135986328,3.418183135986328,3.366398620605469,3.366398620605469,3.366398620605469,3.3618221282958984,3.3618221282958984,3.3618221282958984
1800,3.4013538360595703,3.4013538360595703,3.4013538360595703,3.412028121948242,3.412028121948242,3.412028121948242,3.3618377685546874,3.3618377685546874,3.3618377685546874,3.3567604064941405,3.3567604064941405,3.3567604064941405
1850,3.3848194122314452,3.3848194122314452,3.3848194122314452,3.393710708618164,3.393710708618164,3.393710708618164,3.3454334259033205,3.3454334259033205,3.3454334259033205,3.3389846801757814,3.3389846801757814,3.3389846801757814
1900,3.364904785,3.364904785,3.364904785,3.373110580444336,3.373110580444336,3.373110580444336,3.324552536010742,3.324552536010742,3.324552536010742,3.3189937591552736,3.3189937591552736,3.3189937591552736
1950,3.3471412658691406,3.3471412658691406,3.3471412658691406,3.354000473022461,3.354000473022461,3.354000473022461,3.30480957,3.30480957,3.30480957,3.3000167846679687,3.3000167846679687,3.3000167846679687
2000,3.336190414428711,3.336190414428711,3.336190414428711,3.342771530151367,3.342771530151367,3.342771530151367,3.2930416107177733,3.2930416107177733,3.2930416107177733,3.2886451721191405,3.2886451721191405,3.2886451721191405
